Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-07-20,47171.37109375,47693.56339368081,46997.30699377306,47693.56339368081,10507530
2020-07-21,48128.72265625,48215.754704452986,47693.56241523508,48041.690608047014,18297260
2020-07-22,47606.52734375,48302.78368515767,47606.52734375,48128.71959980576,12885057
2020-07-23,47084.34765625,47606.54005169825,46823.251458525876,47606.54005169825,16214932
2020-07-24,47171.37109375,47345.43519372693,46736.210843807654,46997.30699377306,10994535
2020-07-27,48389.81640625,48476.848450146135,47258.39983560027,47258.39983560027,21054421
2020-07-28,51000.7890625,51174.85318899318,49086.08367107509,49608.27605055461,48431566
2020-07-29,51348.91015625,52567.358871822034,51000.78195180085,52480.32682070974,36476611
2020-07-30,51348.91015625,52306.262718485166,51348.91015625,51958.13451403601,19285354
2020-07-31,50391.5625,51871.10751295337,50217.49838082901,51784.07545336788,21943345
2020-08-03,49434.19921875,50391.55166840889,49347.16717787192,50304.51962753081,21158940
2020-08-04,49869.36328125,50565.61966214005,49608.26713841623,49782.331233638746,19419694
2020-08-05,49521.24609375,50043.438495441565,48999.053692058435,49869.374361544375,17739706
2020-08-06,50478.578125,50826.706249999996,49695.28984375,49695.28984375,21625874
2020-08-07,50043.4140625,50826.7022826087,49695.285964673916,50391.542160326084,18751717
2020-08-10,50304.5234375,50739.68367484862,50043.42729509083,50130.459342560556,17774291
2020-08-11,50652.64453125,51784.06098985181,50304.516390141755,50478.58046069588,24907912
2020-08-12,51348.91015625,51348.91015625,50217.49349179025,50652.653747351695,18573934
2020-08-13,51087.8125,51871.10093696763,50478.588160136285,51697.036839863715,22089460
2020-08-14,50478.578125,50826.706249999996,50217.48203125,50478.578125,15672548
2020-08-18,50826.7109375,52132.191526648116,50478.58278039384,51261.871133882705,25307825
2020-08-19,50304.5234375,51522.97210207613,50304.5234375,51348.90800713668,16930719
2020-08-20,48215.76171875,50130.467057761736,48128.72965788584,50130.467057761736,30386029
